Acer A515-56G-57H5 (Charcoal Black) A515-56G-56AZ  (Pure Silver) | 15.6-inch FHD | Intel Core i5-1135G7 | 8GB RAM | 512GB SSD | NVIDIA GeForce MX450 | Windows 11 |  |
Lenovo ideaPad Slim 3i 14ITL6 (82H70047PH) Grey | 14-inch FHD IPS | Intel Core i7-1165G7 | 8GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 10 |  |
Lenovo IdeaPad Slim 3i 14ITL6 (82H701CJPH) | 14-inch FHD IPS | Intel Core i3-1115G4 | 8GB RAM | 512GB SSD | Intel UHD Graphics | Windows 11 |  |
Lenovo IdeaPad Slim 3i 14ITL6 82H700HPPH | 14-inch FHD | Intel Core i5-1135G7 | 8GB DDR4 RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 10 |  |
Lenovo IdeaPad Slim 3i 14ITL6 82H7011WPH Arctic Grey | 14-inch FHD | Intel Core i3-1115G4 | 8GB DDR4 RAM | 512GB SSD | Intel UHD Graphics | Windows 11 |  |
Lenovo IdeaPad Slim 3i 14ITL6 82H70120PH | 14-inch FHD | Intel Core i5-1135G7 | 8GB DDR4 RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Lenovo IdeaPad Slim 3i 14ITL6 82H701BCPH | 14-inch FHD | Intel Core i5-1135G7 | 8GB RAM | 512GB SSD | NVIDIA GeForce MX350 | Windows 11 |  |
Lenovo IdeaPad Slim 3i 15IML05 81WB013NPH | 15.6-inch FHD | Intel Core i5-10210U | 8GB DDR4 RAM | 512GB SSD | Intel UHD Graphics | Windows 11 |  |
Lenovo IdeaPad Slim 3i 15IML05 81WB01E1PH | 15.6-inch FHD IPS | Intel Core i3-10110U | 8GB RAM | 512GB SSD | Intel UHD Graphics | Windows 11 |  |
Lenovo IdeaPad Slim 3i 15ITL05 (81X800L5PH) | 15.6-inch FHD | Intel Core i3-1115G4 | 8GB RAM | 512GB SSD | Intel UHD Graphics | Windows 11 |  |
Lenovo IdeaPad Slim 3i 15ITL05 81X800EBPH | 15.6-inch FHD | Intel Core i3-1115G4 | 8GB DDR4 RAM | 256GB SSD | Intel UHD Graphics | Windows 11 |  |
Lenovo IdeaPad Slim 3i 15ITL05 81X800KGPH | 15.6-inch HD | Intel Core i3-1115G4 | 8GB DDR4 RAM | 512GB SSD | Intel UHD Graphics | Windows 11 |  |
Lenovo ideaPad Slim 3i 15ITL6 82H8004PPH | 15.6-inch FHD IPS | Intel Core i7-1165G7 | 8GB DDR4 RAM | 512GB SSD | NVIDIA GeForce MX450 | Windows 10 |  |
Lenovo IdeaPad Slim 3i 15ITL6 82H801UYPH | 15.6-inch FHD | Intel Core i5-1135G7 | 8GB DDR4 RAM | 1TB SSD | NVIDIA GeForce MX350 | Windows 11 |  |
Lenovo IdeaPad Slim 3i 15ITL6 82H801V3PH | 15.6-inch FHD | Intel Core i3-1115G4 | 8GB DDR4 RAM | 512GB SSD | Intel UHD Graphics | Windows 11 |  |
Lenovo IdeaPad Slim 3i 15ITL6 82H801V5PH | 15.6-inch FHD IPS | Intel Core i5-1135G7 | 8GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Lenovo IdeaPad Slim 3i 15ITL6 82H801V7PH | 15.6-inch FHD IPS | Intel Core i5-1135G7 | 8GB RAM | 512GB SSD | NVIDIA GeForce MX350 | Windows 11 |  |
Lenovo IdeaPad Slim 3i 82H70128PH | 14-inch FHD | Intel Core i5-1135G7 | 8GB DDR4 RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Lenovo IdeaPad Slim 5 Pro 14ACN6 82L7003LPH | 14-inch 2.2K | AMD Ryzen 5 5600U | 16GB DDR4 RAM | 512GB SSD | NVIDIA GeForce MX450 | Windows 10 |  |
Lenovo IdeaPad Slim 5 Pro 14ACN6 82L7003MPH | 14-inch IPS | AMD Ryzen 7 5800U | 16GB RAM | 512GB SSD | NVIDIA GeForce MX450 | Windows 10 |  |
Lenovo IdeaPad Slim 5 Pro 14ACN6 82L700L4PH | 14-inch 2.8K | AMD Ryzen 5 5600U | 16GB DDR4 RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 |  |
Lenovo IdeaPad Slim 5 Pro 16ACH6 82L500KJPH | 16-inch WQXGA 60Hz | AMD Ryzen 5 5600H | 16GB DDR4 RAM | 1TB SSD | NVIDIA GeForce RTX 3050 | Windows 11 |  |
Lenovo IdeaPad Slim 5 Pro 16ACH6 82L500KKPH | 16-inch WQXGA IPS | AMD Ryzen 7 5800H | 16GB RAM | 1TB SSD | NVIDIA GeForce RTX 3050 | Windows 11 |  |
Lenovo IdeaPad Slim 5i 14ITL05 82FE0157PH | 14-inch FHD | Intel Core i5-1135G7 | 8GB DDR4 RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Lenovo IdeaPad Slim 5i 15ITL05 82FG01F2PH | 15.6-inch FHD IPS | Intel Core i7-1165G7 | 16GB RAM | 1TB SSD | NVIDIA GeForce MX450 | Windows 11 |  |
Lenovo IdeaPad Slim 5i Pro 16IHU6 82L9009SPH | 16-inch WQXGA 120Hz | Intel Core i7-11390H | 16GB DDR4 RAM | 1TB SSD | NVIDIA GeForce MX450 | Windows 11 |  |
Lenovo Legion 5 15ACH6 82JW00H6PH|Phantom Blue | 15.6-inch FHD 165Hz | AMD Ryzen 5 5600H | 16GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3050 Ti | Windows 11 |  |
Lenovo Legion 5 15ACH6H 82JU00XCPH | 15.6-inch WQHD 165Hz | AMD Ryzen 7 5800H | 16GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3060 | Windows 11 |  |
Lenovo Legion 5 Pro 16ACH6 82JS0052PH | 16-inch WQXGA IPS | AMD Ryzen 7 5800H | 16GB RAM | 1TB SSD | NVIDIA GeForce RTX 3050 Ti | Windows 11 |  |
Lenovo Legion 5 Pro 16ACH6H 82JQ00R8PH | 16-inch WQXGA 165Hz | AMD Ryzen 7 5800H | 16GB DDR4 RAM | 1TB SSD | NVIDIA GeForce RTX 3060 | Windows 11 |  |
Lenovo Legion 5i 15ITH6 82JK0014PH|Phantom Blue | 15.6-inch FHD 165Hz | Intel Core i5-11400H | 16GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3050 Ti | Windows 11 |  |
Lenovo Legion 5i 15ITH6 82JK00ESPH | 15.6-inch FHD IPS | Intel Core i5-11400H | 16GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3050 Ti | Windows 11 |  |
Lenovo Legion 5i 15ITH6 82JK00ETPH | 15.6-inch FHD IPS | Intel Core i7-11800H | 16GB RAM | 512GB SSD | NVIDIA GeForce RTX 3050 Ti | Windows 11 |  |
Lenovo Legion 5i 15ITH6H 82JH0048PH | 15.6-inch WQHD 165Hz | Intel Core i5-11400H | 16GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3060 | Windows 11 |  |
Lenovo Legion 5i 15ITH6H 82JH004APH|Phantom Blue | 15.6-inch WQHD 165Hz | Intel Core i7-11800H | 16GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3060 | Windows 11 |  |
Lenovo Legion 5i 15ITH6H 82JH00CSPH|Phantom Blue | 15.6-inch WQHD 165Hz | Intel Core i7-11800H | 16GB DDR4 RAM | 1TB SSD | NVIDIA GeForce RTX 3060 | Windows 11 |  |
Lenovo Legion 5i 15ITH6H 82JH00CTPH | 15.6-inch WQHD 165Hz | Intel Core i5-11400H | 16GB DDR4 RAM | 1TB SSD | NVIDIA GeForce RTX 3060 | Windows 11 |  |
Lenovo Legion 5i Pro 16ITH6H 82JD00AYPH | 16-inch WQXGA IPS | Intel Core i7-11800H | 16GB RAM | 1TB SSD | NVIDIA GeForce RTX 3070 | Windows 11 |  |
Lenovo Legion 7 16ACHg6 82N60052PH | 16-inch WQXGA IPS | AMD Ryzen 7 5800H | 32GB DDR4 RAM | 2TB SSD | NVIDIA GeForce RTX 3070 | Windows 10 |  |
Lenovo Legion Legion 5i Pro 16IAH7H 82RF004MPH | 16-inch WQXGA IPS | Intel Core i7-12700H | 16GB RAM | 1TB SSD | NVIDIA GeForce RTX 3060 | Windows 11 |  |
Lenovo ThinkPad E14 20TA0076PH | 14-inch FHD | Intel Core i5-1135G7 | 8GB DDR4 RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 10 |  |
Lenovo ThinkPad E14 Gen 2 20TA009WPH | 14-inch FHD | Intel Core i7-1165G7 | 8GB DDR4 RAM | 512GB SSD | NVIDIA GeForce MX450 | Windows 10 Pro |  |
Lenovo ThinkPad T14 Gen 2 20W000C3PH | 14-inch FHD IPS | Intel Core i7-1165G7 | 16GB RAM | 1TB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Lenovo ThinkPad T460 20FMA007PH | 14-inch HD | Intel Core i5-6200U | 8GB RAM | 1TB HDD | Intel HD Graphics | Windows 7 Pro + Windows 10 Pro RDVD |  |
Lenovo ThinkPad X13 Gen 2 20WK00BUPH | 13.3-inch WUXGA IPS | Intel Core i5-1135G7 | 8GB RAM | 512GB SSD |  | Windows 11 |  |
Lenovo Thinkpad X250 20CL0010PH | 12.5-inch HD IPS | Intel Core i7-5600u | 4GB RAM | 1TB HDD + 16GB mSATA SSD | Intel HD Graphics | Windows 7 Pro |  |
Lenovo V15 82C700LAPH | 15.6-inch HD | AMD Ryzen 3 3250U | 8GB DDR4 RAM | 256GB SSD | AMD Radeon Graphics | Windows 10 |  |
Lenovo Y40-80 80FA000EPH | 14-inch FHD | Intel Core i7-5500U | 8GB RAM | 1TB HDD | AMD Radeon R9 M275X | Windows 8.1 |  |
Lenovo Yoga 3 14 Black/White/Silver | 14-inch FHD IPS | Intel Core i5-5200U | 4GB RAM | 128GB SSD | NVIDIA GeForce GT940 | Windows 8.1 |  |
Lenovo Yoga 520-14IKBR (NSPH GRAY/NRPH) GOLD | 14-inch FHD IPS Touch | Intel Core i7-8550U | 4GB RAM | 1TB HDD + 128GB SSD | NVIDIA GeForce MX130 | Windows 10 |  |
Lenovo Yoga 6 13ALC6  82ND00AQPH | 13.3-inch FHD IPS Touch | AMD Ryzen 5 5500U | 8GB DDR4 RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 |  |
Lenovo Yoga 6 13ALC6 82ND002UPH | 13.3-inch FHD IPS Touch | AMD Ryzen 5 5500U | 8GB DDR4 RAM | 512GB SSD | AMD Radeon Graphics | Windows 10 |  |
Lenovo Yoga 6 13ALC7 82UD0018PH | 13.3-inch WUXGA IPS | AMD Ryzen 7 5700U | 16GB RAM | 1TB SSD | AMD Radeon Graphics | Windows 11 |  |
Lenovo Yoga 7 14ACN6 82N7009NPH | 14-inch FHD Touch | AMD Ryzen 5 5600U | 16GB LPDDR4X RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 |  |
Lenovo Yoga Duet 7i 13IML05 82AS006QPH | 13-inch WQHD IPS Touch | Intel Core i5-10210U | 8GB DDR4 RAM | 512GB SSD | Intel UHD Graphics | Windows 10 |  |
Lenovo Yoga S940-14IIL 81Q8002LPH | 13.9-inch UHD IPS | Intel Core i7-1065G7 | 16GB RAM | 1TB SSD |  | Windows 10 |  |
Lenovo Yoga Slim 7 Carbon 14ACN6 82L00025PH | 14-inch 2.8K OLED | AMD Ryzen 7 5800U | 16GB LPDDR4X RAM | 512GB SSD | NVIDIA GeForce MX450 | Windows 11 |  |
Lenovo Yoga Slim 7 Carbon 14ACN6 82L00026PH | 14-inch OLED | AMD Ryzen 7 5800U | 16GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 |  |
Lenovo Yoga Slim 7 Carbon 14ACN6 82L0003DPH | 14-inch 2.8K OLED | AMD Ryzen 5 5600U | 16GB LPDDR4X RAM | 512GB SSD | NVIDIA GeForce MX450 | Windows 11 |  |
Lenovo Yoga Slim 7 Pro 14ACH5 82N5001HPH | 14-inch 2.8K OLED 90Hz | AMD Ryzen 7 5800H | 16GB DDR4 RAM | 512GB SSD | AMD Radeon Graphics | Windows 10 |  |
Lenovo Yoga Slim 7i 14ITL05 82A300KEPH | 14-inch FHD IPS | Intel Core i5-1135G7 | 8GB DDR4 RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Lenovo Yoga Slim 7i 14ITL05 82A300KFPH | 14-inch FHD IPS | Intel Core i5-1135G7 | 16GB DDR4 RAM | 1TB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Lenovo Yoga Slim 7i 14ITL05 82A300KGPH | 14-inch FHD IPS | Intel Core i7-1165G7 | 16GB DDR4 RAM | 1TB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Lenovo Yoga Slim 7i Carbon 13ITL5 82EV0006PH (Moon White) | 13.3-inch QHD | Intel Core i5-1135G7 | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 10 |  |
Lenovo Yoga Slim 7i Carbon 13ITL5 82EV002KPH (Moon White) | 13.3-inch QHD | Intel Core i5-1135G7 | 8GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 10 |  |
Lenovo Yoga Slim 9i 14ITL5 82D1000CPH | 14-inch FHD IPS Touch | Intel Core i7-1165G7 | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 10 |  |
Lenovo Yoga Yoga Slim 7 Carbon 14ACN6 (82L0003FPH) | 14-inch 2.8K OLED 90Hz | AMD Ryzen 7 5800U | 16GB RAM | 512GB SSD | NVIDIA GeForce MX450 | Windows 11 |  |
Lenovo Yoga Yoga Slim 7i Pro 14IHU5 82NH0071PH | 14-inch 2.8K OLED 90Hz | Intel Core i7-11370H | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 |  |
LG 16T90P-KAAB7U1 2-in-1 | 16-inch WQXGA IPS Pen-Touch | Intel Core i7-1165G7 | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 10 |  |
LG GRAM 15Z95N | 15.6-inch FHD IPS | Intel Core i5-1135G7 | 16GB RAM | 512GB NVMe SSD | Intel Iris Xe Graphics | Windows 10 |  |
Microsoft Surface Laptop 3 | 13.5-inch Touch PixelSense Display | Intel Core i5-1035G7 | 8GB RAM | 256GB SSD |  | Windows 10 |  |
Microsoft Surface Laptop 3 | 13.5-inch Touch PixelSense Display | Intel Core i7-1065G7 | 16GB RAM | 256GB SSD |  | Windows 10 |  |
Microsoft SURFACE LAPTOP 4 (Black) | 13.5-inch Touch PixelSense Display | Intel Core i7-1185G7 | 16GB RAM | 512GB SSD |  | Windows 10 |  |
MSI 14 A10SC-025PH | 14-inch 4K UHD | Intel Core i7-10710U | 16GB RAM | 1TB SSD | NVIDIA GeForce GTX 1650 | Windows 10 |  |
MSI Alpha 15 B5EEK-043PH | 15.6-inch FHD 144Hz | AMD Ryzen 7 5800H | 16GB DDR4 RAM | 512GB SSD | AMD Radeon RX 6600M | Windows 10 |  |
MSI ALPHA 17 B5EEK-028PH | 17.3-inch FHD 144Hz | AMD Ryzen 7 5800H | 16GB DDR4 RAM | 512GB SSD | AMD Radeon RX 6600M | Windows 11 |  |
MSI Bravo 15 B5DD-092PH | 15.6-inch FHD 144Hz | AMD Ryzen 5 5600H | 16GB DDR4 RAM | 512GB SSD | AMD Radeon RX 5500M | Windows 10 |  |
MSI Bravo 15 B5DD-200PH | 15.6-inch FHD 144Hz | AMD Ryzen 7 5800H | 8GB DDR4 RAM | 512GB SSD | AMD Radeon RX 5500M | Windows 10 |  |
MSI Bravo 15 B5DD-273PH | 15.6-inch FHD 144Hz | AMD Ryzen 7 5800H | 8GB DDR4 RAM | 512GB SSD | AMD Radeon RX 5500M | Windows 11 |  |
MSI Bravo 15 B5DD-274PH | 15.6-inch FHD 144Hz | AMD Ryzen 5 5600H | 8GB DDR4 RAM | 512GB SSD | AMD Radeon RX 5500M | Windows 11 |  |
MSI Crosshair 15 B12UGSZ-207PH | 15.6-inch QHD 165Hz | Intel Core i9-12900H | 16GB DDR4 RAM | 1TB SSD | NVIDIA GeForce RTX 3070 Ti | Windows 11 |  |
MSI GE66 Raider 10SF-026PH | 15.6-inch FHD 240Hz | Intel Core i7-10875H | 16GB RAM | 1TB SSD | NVIDIA GeForce RTX 2070 | Windows 10 |  |
MSI GE75 RAIDER 9SG-605PH | 17.3-inch FHD | Intel Core i7-9750H | 32GB RAM | 1TB HDD + 512GB SSD | NVIDIA GeForce RTX 2080 | Windows 10 |  |
MSI GE76 RAIDER 11UE-046 | 17.3-inch FHD | Intel Core i7-11800H | 16GB RAM | 1TB NVMe PCIe SSD | NVIDIA GeForce RTX 3060 | Windows 10 |  |
MSI GF63 Thin 10SCSR-868PH | 15.6-inch FHD 144Hz | Intel Core i7-10750H | 8GB RAM | 1TB HDD + 256GB SSD | NVIDIA GeForce GTX 1650 Ti | Windows 10 |  |
MSI GF63 Thin 10UC-821PH | 15.6-inch FHD 144Hz | Intel Core i7-10750H | 8GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3050 | Windows 10 |  |
MSI GF63 Thin 10UC-822PH | 15.6-inch FHD 144Hz | Intel Core i5-10500H | 8GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3050 | Windows 10 |  |
MSI GF63 Thin 11SC-031PH | 15.6-inch FHD IPS | Intel Core i5-11400H | 8GB RAM | 512GB SSD | NVIDIA GeForce GTX 1650 Max-Q | Windows 10 |  |
MSI GF63 Thin 11UD-022PH | 15.6-inch FHD 144Hz | Intel Core i7-11800H | 8GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3050 Ti Max-Q | Windows 10 |  |
MSI GF63 Thin 11UD-418PH | 15.6-inch FHD 144Hz | Intel Core i5-11400H | 8GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3050 Ti Max-Q | Windows 11 |  |
MSI GF65 Thin 10UE-223PH | 15.6-inch FHD IPS 144Hz | Intel Core i5-10200H | 8GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3060 | Windows 10 |  |
MSI GF65 Thin 10UE-230PH/236PH | 15.6-inch FHD 144Hz | Intel Core i7-10750H | 8GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3060 Max-Q | Windows 10 |  |
MSI GP65 Leopard 10SEK-261PH | 15.6-inch FHD IPS 144Hz | Intel Core i7-10750H | 16GB RAM | 1TB HDD + 512GB SSD | NVIDIA GeForce RTX 2060 | Windows 10 |  |
MSI GS65 Stealth 9SD-1095PH | 15.6-inch FHD IPS 144Hz | Intel Core i7-9750H | 8GB RAM | 512GB SSD | NVIDIA GeForce GTX 1660 Ti | Windows 10 |  |
MSI GS65 Stealth 9SG-493PH | 15.6-inch FHD 240Hz Thin Bezel | Intel Core i7-9750H | 32GB RAM | 1TB SSD | NVIDIA GeForce RTX 2080 | Windows 10 |  |
MSI GS66 Stealth 10SE-262PH | 15.6-inch FHD 240Hz | Intel Core i7-10750H | 16GB RAM | 1TB SSD | NVIDIA GeForce RTX 2060 | Windows 10 |  |
MSI GS66 Stealth 10SF-261PH | 15.6-inch FHD 240Hz | Intel Core i7-10875H | 16GB RAM | 1TB SSD | NVIDIA GeForce RTX 2070 | Windows 10 |  |
MSI GS66 Stealth 11UG-043PH | 15.6-inch FHD 300Hz | Intel Core i7-11800H | 16GB DDR4 RAM | 2TB SSD | NVIDIA GeForce RTX 3070 Max-Q | Windows 10 |  |
MSI GS66 Stealth 11UG-481PH | 15.6-inch FHD 300Hz | Intel Core i7-11800H | 32GB DDR4 RAM | 2TB SSD | NVIDIA GeForce RTX 3070 Max-Q | Windows 10 |  |
MSI Katana GF66 11UD-227PH|452PH | 15.6-inch FHD 144Hz | Intel Core i7-11800H | 8GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3050 Ti | Windows 10 |  |
MSI Katana GF66 11UD-826PH | 15.6-inch FHD 144Hz | Intel Core i7-11800H | 16GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3050 Ti | Windows 10 |  |
MSI Katana GF66 11UG-656PH | 15.6-inch FHD 144Hz | Intel Core i7-11800H | 16GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3070 | Windows 10 |  |
MSI Modern 14 B11M-092LA | 14-inch FHD IPS | Intel Core i3-1115G4 | 8GB RAM | 512GB SSD | Intel UHD Graphics | Windows 10 |  |
MSI Modern 14 B11M-659PH | 14-inch FHD IPS | Intel Core i3-1115G4 | 8GB RAM | 512GB SSD | Intel UHD Graphics | Windows 10 |  |
MSI Modern 14 B11MOU-1004PH | 14-inch FHD IPS | Intel Core i3-1115G4 | 8GB DDR4 RAM | 256GB SSD | Intel UHD Graphics | Windows 11 |  |
MSI Modern 14 B4MW-062LA Black | 14-inch FHD IPS 60Hz | AMD Ryzen 7 4700U | 8GB RAM | 512GB SSD | UMA | Windows 10 |  |
MSI Modern 15 A11M-810PH Carbon Gray | 15.6-inch FHD IPS | Intel Core i5-1155G7 | 8GB DDR4 RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 10 |  |
MSI Modern 15 A5M-088PH (Carbon Gray) | 15.6-inch FHD IPS | AMD Ryzen 5 5500U | 8GB DDR4 RAM | 512GB SSD | AMD Radeon Graphics | Windows 10 |  |
MSI Modern 15 A5M-200PH | 15.6-inch FHD 60Hz | AMD Ryzen 7 5700U | 8GB DDR4 RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 |  |
MSI Modern 15 A5M-232PH | 15.6-inch FHD IPS | AMD Ryzen 5 5500U | 8GB DDR4 RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 |  |
MSI MODERN Modern 14 B11MOU-855PH | 14-inch FHD | Intel Core i7-1195G7 | 8GB DDR4 RAM | 512GB SSD | Intel UHD Graphics | Windows 10 |  |
MSI MODERN Modern 14 B5M-096PH | 14-inch FHD | AMD Ryzen 5 5500U | 8GB DDR4 RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 |  |
MSI Modern PS42 8MO-205PH | 14-inch FHD IPS | Intel Core i5-8265U | 4GB RAM | 256GB SSD | Intel HD Graphics | Windows 10 |  |
MSI Prestige 15 A10SC-082PH | 15.6-inch 4K UHD | Intel Core i7-10710U | 16GB RAM | 1TB SSD | NVIDIA GeForce GTX 1650 | Windows 10 |  |
MSI PS42 MODERN 8RA-204PH | 14-inch FHD IPS | Intel Core i7-8565U | 16GB RAM | 512GB SSD | NVIDIA GeForce MX250 | Windows 10 |  |
MSI Pulse GL66 11UGK-237PH | 15.6-inch QHD 165Hz | Intel Core i7-11800H | 16GB DDR4 RAM | 1TB SSD | NVIDIA GeForce RTX 3070 | Windows 10 |  |
MSI Pulse GL76 11UEK-250PH | 17.3-inch QHD 165Hz | Intel Core i7-11800H | 16GB DDR4 RAM | 1TB SSD | NVIDIA GeForce RTX 3060 | Windows 10 |  |
MSI Raider GE66 12UGS-020PH | 15.6-inch FHD 360Hz | Intel Core i7-12700H | 32GB DDR5 RAM | 1TB SSD | NVIDIA GeForce RTX 3070 Ti | Windows 11 |  |
MSI Stealth 15M A11UEK-224PH | 15.6-inch FHD 144Hz | Intel Core i7-11375H | 16GB DDR4 RAM | 1TB SSD | NVIDIA GeForce RTX 3060 Max-Q | Windows 10 |  |
MSI Stealth 15M B12UE-032PH | 15.6-inch FHD 240Hz | Intel Core i7-1280P | 16GB DDR4 RAM | 1TB SSD | NVIDIA GeForce RTX 3060 | Windows 11 |  |
MSI Vector GP76 12UH-088PH | 17.3-inch FHD 360Hz | Intel Core i9-12900H | 16GB DDR4 RAM | 1TB SSD | NVIDIA GeForce RTX 3080 | Windows 11 |  |
Porsche Design Book One | 13.3-inch QHD+ IPS Touch | Intel Core i7-7500U | 16GB RAM | 512GB SSD |  | Windows 10 Pro | Detachable 2-in-1 Laptop |
Samsung Galaxy Book Pro Mystic Blue | 15.6-inch FHD AMOLED | Intel Core i7-1165G7 | 16GB RAM | 1TB SSD | Intel Iris Xe Graphics | Windows 10 |  |
